#At time x allocated y bytes for process z from i to j
At time 1 allocated 256 bytes for process 1 from 0 to 255
At time 2 allocated 256 bytes for process 2 from 256 to 511
At time 3 allocated 256 bytes for process 3 from 512 to 767
At time 4 allocated 256 bytes for process 4 from 768 to 1023
At time 18 freed 256 bytes for process 1 from 0 to 255
At time 18 allocated 38 bytes for process 9 from 0 to 63
At time 18 allocated 71 bytes for process 10 from 128 to 255
At time 24 freed 256 bytes for process 2 from 256 to 511
At time 24 allocated 157 bytes for process 6 from 256 to 511
At time 26 freed 256 bytes for process 4 from 768 to 1023
At time 26 allocated 157 bytes for process 6 from 768 to 1023
At time 35 freed 256 bytes for process 3 from 512 to 767
At time 35 allocated 157 bytes for process 6 from 512 to 767
