#At time x process y state arr w total z remain y wait k
At time 1 Process 1 started arr 1 total 5 remain 5 wait 0
At time 2 Process 1 stopped arr 1 total 5 remain 4 wait 0
At time 2 Process 2 started arr 1 total 6 remain 6 wait 1
At time 3 Process 2 stopped arr 1 total 6 remain 5 wait 1
At time 3 Process 3 started arr 1 total 8 remain 8 wait 2
At time 4 Process 3 stopped arr 1 total 8 remain 7 wait 2
At time 4 Process 4 started arr 1 total 6 remain 6 wait 3
At time 5 Process 4 stopped arr 1 total 6 remain 5 wait 3
At time 5 Process 1 resumed arr 1 total 5 remain 4 wait 3
At time 6 Process 1 stopped arr 1 total 5 remain 3 wait 3
At time 6 Process 2 resumed arr 1 total 6 remain 5 wait 4
At time 7 Process 2 stopped arr 1 total 6 remain 4 wait 4
At time 7 Process 3 resumed arr 1 total 8 remain 7 wait 5
At time 8 Process 3 stopped arr 1 total 8 remain 6 wait 5
At time 8 Process 4 resumed arr 1 total 6 remain 5 wait 6
At time 9 Process 4 stopped arr 1 total 6 remain 4 wait 6
At time 9 Process 1 resumed arr 1 total 5 remain 3 wait 6
At time 10 Process 1 stopped arr 1 total 5 remain 2 wait 6
At time 10 Process 2 resumed arr 1 total 6 remain 4 wait 7
At time 11 Process 2 stopped arr 1 total 6 remain 3 wait 7
At time 11 Process 3 resumed arr 1 total 8 remain 6 wait 8
At time 12 Process 3 stopped arr 1 total 8 remain 5 wait 8
At time 12 Process 4 resumed arr 1 total 6 remain 4 wait 9
At time 13 Process 4 stopped arr 1 total 6 remain 3 wait 9
At time 13 Process 1 resumed arr 1 total 5 remain 2 wait 9
At time 14 Process 1 stopped arr 1 total 5 remain 1 wait 9
At time 14 Process 2 resumed arr 1 total 6 remain 3 wait 10
At time 15 Process 2 stopped arr 1 total 6 remain 2 wait 10
At time 15 Process 3 resumed arr 1 total 8 remain 5 wait 11
At time 16 Process 3 stopped arr 1 total 8 remain 4 wait 11
At time 16 Process 4 resumed arr 1 total 6 remain 3 wait 12
At time 17 Process 4 stopped arr 1 total 6 remain 2 wait 12
At time 17 Process 1 resumed arr 1 total 5 remain 1 wait 12
At time 18 Process 1 finished arr 1 total 5 remain 0 wait 12 TA 17 WTA 3.40
At time 18 Process 2 resumed arr 1 total 6 remain 2 wait 13
At time 19 Process 2 stopped arr 1 total 6 remain 1 wait 13
At time 19 Process 3 resumed arr 1 total 8 remain 4 wait 14
At time 20 Process 3 stopped arr 1 total 8 remain 3 wait 14
At time 20 Process 4 resumed arr 1 total 6 remain 2 wait 15
At time 21 Process 4 stopped arr 1 total 6 remain 1 wait 15
At time 21 Process 9 started arr 1 total 14 remain 14 wait 20
At time 22 Process 9 stopped arr 1 total 14 remain 13 wait 20
At time 22 Process 10 started arr 1 total 10 remain 10 wait 21
At time 23 Process 10 stopped arr 1 total 10 remain 9 wait 21
At time 23 Process 2 resumed arr 1 total 6 remain 1 wait 17
At time 24 Process 2 finished arr 1 total 6 remain 0 wait 17 TA 23 WTA 3.83
At time 24 Process 3 resumed arr 1 total 8 remain 3 wait 18
At time 25 Process 3 stopped arr 1 total 8 remain 2 wait 18
At time 25 Process 4 resumed arr 1 total 6 remain 1 wait 19
At time 26 Process 4 finished arr 1 total 6 remain 0 wait 19 TA 25 WTA 4.17
At time 26 Process 9 resumed arr 1 total 14 remain 13 wait 24
At time 27 Process 9 stopped arr 1 total 14 remain 12 wait 24
At time 27 Process 10 resumed arr 1 total 10 remain 9 wait 25
At time 28 Process 10 stopped arr 1 total 10 remain 8 wait 25
At time 28 Process 6 started arr 1 total 12 remain 12 wait 27
At time 29 Process 6 stopped arr 1 total 12 remain 11 wait 27
At time 29 Process 3 resumed arr 1 total 8 remain 2 wait 22
At time 30 Process 3 stopped arr 1 total 8 remain 1 wait 22
At time 30 Process 6 started arr 1 total 12 remain 12 wait 29
At time 31 Process 6 stopped arr 1 total 12 remain 11 wait 29
At time 31 Process 9 resumed arr 1 total 14 remain 12 wait 28
At time 32 Process 9 stopped arr 1 total 14 remain 11 wait 28
At time 32 Process 10 resumed arr 1 total 10 remain 8 wait 29
At time 33 Process 10 stopped arr 1 total 10 remain 7 wait 29
At time 33 Process 6 resumed arr 1 total 12 remain 11 wait 31
At time 34 Process 6 stopped arr 1 total 12 remain 10 wait 31
At time 34 Process 3 resumed arr 1 total 8 remain 1 wait 26
At time 35 Process 3 finished arr 1 total 8 remain 0 wait 26 TA 34 WTA 4.25
At time 35 Process 6 resumed arr 1 total 12 remain 11 wait 33
At time 36 Process 6 stopped arr 1 total 12 remain 10 wait 33
At time 36 Process 9 resumed arr 1 total 14 remain 11 wait 32
At time 37 Process 9 stopped arr 1 total 14 remain 10 wait 32
At time 37 Process 10 resumed arr 1 total 10 remain 7 wait 33
At time 38 Process 10 stopped arr 1 total 10 remain 6 wait 33
At time 38 Process 6 resumed arr 1 total 12 remain 10 wait 35
At time 39 Process 6 stopped arr 1 total 12 remain 9 wait 35
At time 39 Process 6 started arr 1 total 12 remain 12 wait 38
At time 40 Process 6 stopped arr 1 total 12 remain 11 wait 38
At time 40 Process 6 resumed arr 1 total 12 remain 10 wait 37
At time 41 Process 6 stopped arr 1 total 12 remain 9 wait 37
At time 41 Process 9 resumed arr 1 total 14 remain 10 wait 36
At time 42 Process 9 stopped arr 1 total 14 remain 9 wait 36
At time 42 Process 10 resumed arr 1 total 10 remain 6 wait 37
At time 43 Process 10 stopped arr 1 total 10 remain 5 wait 37
At time 43 Process 6 resumed arr 1 total 12 remain 9 wait 39
At time 44 Process 6 stopped arr 1 total 12 remain 8 wait 39
At time 44 Process 6 resumed arr 1 total 12 remain 11 wait 42
At time 45 Process 6 stopped arr 1 total 12 remain 10 wait 42
